,STATUS,MONNAIE,ESCALE,ACT DTE ARR,PROV,N° VOL ARRIV,STA,ATA,PAX ARRIV,CARGO ARRIV,ACT DTE DEP,DEST,N° VOL DEP,STD,ATD,PAX     DEP,CARGO DEP,Cie A FACTURER,N° FICHE TOUCHEE,NATURE TOUCHEE,TYPE AVION,MTOW (Tn),MATRICULE  AVION ,PARKING,MODE PAIEMENT,UM,WCH,MEDICAL LIFT,GPU (MN),ASU,ACU,TOILET SERVICE,WATER SERVICE,PUSH BACK ,TOWING,CHARIOT BAG,STEP AUTO,STEP TRACT,TRACTEUR,NET CAB,HEADSET,NAVETTE PISTE,MANUT/TNAO,TAPIS BAG,HUM,F/C,DEPORTEES,TARIF DE BASE,MAJORATION,REDUCTION,DCS,EXTRA SERVICE,MONTANT GLOBALE,DZD,Unnamed: 54
0,DEPARTED,USD,TMR,2021-01-17,NIM,UZA5650,12:30:00,10:00:00,0,0,2021-01-17 00:00:00,TUN,UZA5650,13:30:00,11:00:00,0,0,DELTA JET,15761,TECH,AN26,24,UZA5650,,VIREMENT,,,,,,,,,,,,,,,,,,,,,,,500.0,0.0,0.0,0.0,0.0,500.0,500.0,
1,DEPARTED,USD,GHA,2021-01-03,,ADB533F,00:10:00,23:35:00,0,0,2021-01-04 00:00:00,,ADB533F,02:00:00,02:10:00,0,0,ALPHA JET,20722,TECH,AN124,400,UR82072,,VIREMENT,,,,,,,,,,,,,,,,,,,,,,,2200.0,1100.0,0.0,0.0,200.0,3500.0,3500.0,
2,DEPARTED,USD,ALG,2021-01-05,NKC,MAI004,11:00:00,10:35:00,10,0,2021-01-05 00:00:00,NKC,MAI005,16:00:00,11:28:00,0,0,ALPHA JET,31622,PAX,ERJ175,41,5TCLL,G-SALON,VIREMENT,,,,,,,,,,,,,,,,,,,,,,,1400.0,0.0,350.0,0.0,0.0,1050.0,1050.0,
3,DEPARTED,USD,ALG,2021-01-07,NKC,MAI004,14:00:00,14:55:00,1,0,2021-01-07 00:00:00,NKC,MAI005,15:00:00,15:45:00,10,0,ALPHA JET,31631,VIP,ERJ175,41,5TCLL,G-SALON,VIREMENT,,,,,,,,,,,,,,,,,,,,,,,1400.0,0.0,0.0,0.0,0.0,1400.0,1400.0,
4,DEPARTED,USD,GHA,2021-01-09,DRN,ADB538F,06:30:00,06:10:00,0,0,2021-01-09 00:00:00,LFM,ADB538F,08:20:00,07:45:00,0,0,ALPHA JET,44502,TECH,AN124,400,UR82072,,VIREMENT,,,,,,,1.0,,,,,,,,,,,1,,,,,2200.0,550.0,0.0,0.0,430.0,3180.0,3180.0,
5,DEPARTED,USD,HME,2021-01-07,STN,ZT8151,12:00:00,11:35:00,26,0,2021-01-07 00:00:00,STN,ZT8152,15:00:00,12:47:00,13,,ALPHA JET,1772,PAX,A318,58,GEUNB,,VIREMENT,,,,,,,,,,,,,,,,,,,,,,,2300.0,0.0,0.0,0.0,0.0,2300.0,2300.0,
6,DEPARTED,USD,GHA,2021-01-12,NIM,ADB556F,23:59:00,23:35:00,0,0,2021-01-13 00:00:00,LEJ,ADB556F,02:00:00,01:50:00,,,ALPHA JET,44508,PAX,AN124,392,UR82072,,VIREMENT,,,,,,,,,,,,,,,,,,1,,,,,2200.0,1100.0,0.0,0.0,400.0,3700.0,3700.0,
7,DEPARTED,USD,GHA,2021-01-15,KBG,ADB3673,11:30:00,11:49:00,0,555,2021-01-15 00:00:00,EDD,ADB373F,15:30:00,17:10:00,0,0,ALPHA JET,44509,TECH,AN124,392,UR82027,,VIREMENT,,,,287.0,,,1.0,1.0,,,,,,,,,,1,,,,,2200.0,550.0,0.0,0.0,2000.0,4750.0,4750.0,
8,DEPARTED,USD,GHA,2021-01-15,LFB,,12:30:00,17:25:00,0,0,2021-01-15 00:00:00,DFF,,13:15:00,18:36:00,0,0,ALPHA JET,44510,TECH,B734,62,P4EBO,,VIREMENT,,,,,,,,,,,,,,1.0,,,,1,,,,,1200.0,660.0,0.0,0.0,400.0,2260.0,2260.0,
9,DEPARTED,USD,AZR,2021-01-20,GAG,AZQ4116,19:30:00,19:30:00,0,0,2021-01-20 00:00:00,EDD,AZQ4116,22:00:00,21:15:00,0,0,ALPHA JET,30112,TECH,IL74,190,UKAZ101,,VIREMENT,,,,80.0,,,,,,,,,,,,,,,,,,,1700.0,425.0,0.0,0.0,400.0,2525.0,2525.0,
