ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,STD_x,STD_y,AC_x,AC_y,ARR_x,ARR_y,AC CONFIG1_x,AC CONFIG1_y,AC CONFIG2_x,AC CONFIG2_y,AC CONFIG3_x,AC CONFIG3_y,AC CONFIG4_x,AC CONFIG4_y
1,0304216142ALG,,,2021-04-03 14:15:00,,9:20 ,9:20 ,B738,B738,AZR,TMX,16,16,0,0,86,86,0,0
2,0404216042ALG,2021-04-03 15:15:00,,,2021-04-03 15:15:00,13:40,13:40,B736,B738,BSK,BSK,16,16,0,0,86,132,0,0
3,0404216043BSK,2021-04-03 15:15:00,,,2021-04-03 15:15:00,15:30,15:30,B736,B738,ALG,ALG,16,16,0,0,86,132,0,0
4,0504216040ALG,2021-04-03 15:15:00,,,2021-04-03 15:15:00,11:30,11:30,AT72,B736,BSK,BSK,0,16,0,0,66,86,0,0
5,0504216041BSK,2021-04-03 15:15:00,,,2021-04-03 15:15:00,13:20,13:20,AT72,B736,ALG,ALG,0,16,0,0,66,86,0,0
6,0404216124ALG,2021-04-03 17:15:00,,,,11:50,11:50,AT72,ATR6,TID,TID,0,0,0,0,66,66,0,0
7,0404216125TID,2021-04-03 17:15:00,,,,13:30,13:30,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
8,0404216180ALG,2021-04-03 17:15:00,,,,7:40 ,7:40 ,AT72,ATR6,ORN,ORN,0,0,0,0,66,66,0,0
9,0404216181ORN,2021-04-03 17:15:00,,,,9:45 ,9:45 ,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
10,0404216070ALG,2021-04-03 21:15:00,,,,11:30,11:30,AT72,ATR6,LOO,LOO,0,0,0,0,66,66,0,0
11,0404216071LOO,2021-04-03 21:15:00,,,,13:30,13:30,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
12,0404216170ALG,2021-04-03 21:15:00,,,,7:15 ,7:15 ,AT72,ATR6,AAE,AAE,0,0,0,0,66,66,0,0
13,0404216171AAE,2021-04-03 21:15:00,,,,9:20 ,9:20 ,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
14,0904212512ALG,,2021-04-04 11:15:00,,,17:00,13:40,B738,B738,BCN,BCN,16,16,0,0,132,132,0,0
15,0904212513BCN,,2021-04-04 11:15:00,,,19:20,16:00,B738,B738,ALG,ALG,16,16,0,0,132,132,0,0
16,0504216032ALG,2021-04-04 12:15:00,,,,8:30 ,8:30 ,AT72,ATR6,TEE,TEE,0,0,0,0,66,66,0,0
17,0504216033TEE,2021-04-04 12:15:00,,,,10:35,10:35,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
18,0504216120ALG,2021-04-04 12:15:00,2021-04-04 12:15:00,,2021-04-04 12:15:00,13:00,13:20,B738,ATR6,TLM,TLM,16,0,0,0,132,66,0,0
19,0504216121TLM,2021-04-04 12:15:00,,,2021-04-04 12:15:00,15:00,15:00,B738,ATR6,ALG,ALG,16,0,0,0,132,66,0,0
20,0504216146ALG,2021-04-04 12:15:00,,,2021-04-04 12:15:00,10:30,10:30,B738,B736,TIN,TIN,16,16,0,0,132,86,0,0
21,0504216147TIN,2021-04-04 12:15:00,,,2021-04-04 12:15:00,14:00,14:00,B738,B736,ALG,ALG,16,16,0,0,132,86,0,0
22,0504216180ALG,2021-04-04 12:15:00,,,,6:30 ,6:30 ,AT72,ATR6,ORN,ORN,0,0,0,0,66,66,0,0
23,0504216181ORN,2021-04-04 12:15:00,,,,8:35 ,8:35 ,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
24,0504216218ALG,2021-04-04 12:15:00,,,,11:00,11:00,AT72,ATR6,OGX,OGX,0,0,0,0,66,66,0,0
25,0504216219OGX,2021-04-04 12:15:00,,,,13:30,13:30,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
26,0704216252ALG,2021-04-04 15:15:00,2021-04-04 15:15:00,,2021-04-04 15:15:00,7:10 ,7:35 ,AT72,B736,ELU,ELU,0,16,0,0,66,86,0,0
27,0704216253ELU,2021-04-04 15:15:00,,,2021-04-04 15:15:00,9:25 ,9:25 ,AT72,B736,ALG,ALG,0,16,0,0,66,86,0,0
28,0504216032ALG,2021-04-04 17:15:00,,,,8:30 ,8:30 ,ATR6,AT72,TEE,TEE,0,0,0,0,66,66,0,0
29,0504216033TEE,2021-04-04 17:15:00,,,,10:35,10:35,ATR6,AT72,ALG,ALG,0,0,0,0,66,66,0,0
30,0504216170ALG,2021-04-04 17:15:00,,,,7:00 ,7:00 ,AT72,ATR6,AAE,AAE,0,0,0,0,66,66,0,0
31,0504216171AAE,2021-04-04 17:15:00,,,,9:05 ,9:05 ,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
32,0504216218ALG,2021-04-04 17:15:00,,,2021-04-04 17:15:00,11:00,11:00,ATR6,B738,OGX,OGX,0,16,0,0,66,132,0,0
33,0504216219OGX,2021-04-04 17:15:00,,,2021-04-04 17:15:00,13:30,13:30,ATR6,B738,ALG,ALG,0,16,0,0,66,132,0,0
34,1104216252ALG,2021-04-04 17:15:00,,,2021-04-04 17:15:00,11:50,11:50,ATR6,B736,ELU,ELU,0,16,0,0,66,86,0,0
35,1104216253ELU,2021-04-04 17:15:00,2021-04-04 17:15:00,,2021-04-04 17:15:00,14:05,13:50,ATR6,B736,ALG,ALG,0,16,0,0,66,86,0,0
36,0504216032ALG,,2021-04-04 18:15:00,,,8:30 ,9:00 ,AT72,AT72,TEE,TEE,0,0,0,0,66,66,0,0
37,0504216033TEE,,2021-04-04 18:15:00,,,10:35,11:05,AT72,AT72,ALG,ALG,0,0,0,0,66,66,0,0
38,1004214201CMN,2021-04-04 18:15:00,2021-04-04 18:15:00,2021-04-04 18:15:00,2021-04-04 18:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
39,1104216252ALG,2021-04-04 19:15:00,2021-04-04 19:15:00,2021-04-04 19:15:00,2021-04-04 19:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
40,1004214201CMN,2021-04-04 20:15:00,2021-04-04 20:15:00,2021-04-04 20:15:00,2021-04-04 20:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
41,1104216252ALG,2021-04-04 21:15:00,2021-04-04 21:15:00,2021-04-04 21:15:00,2021-04-04 21:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
42,1004214201CMN,2021-04-04 22:15:00,2021-04-04 22:15:00,2021-04-04 22:15:00,2021-04-04 22:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
43,1104216252ALG,2021-04-04 23:15:00,2021-04-04 23:15:00,2021-04-04 23:15:00,2021-04-04 23:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
44,1004214201CMN,2021-04-05 00:15:00,2021-04-05 00:15:00,2021-04-05 00:15:00,2021-04-05 00:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
45,1104216252ALG,2021-04-05 01:15:00,2021-04-05 01:15:00,2021-04-05 01:15:00,2021-04-05 01:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
46,1004214201CMN,2021-04-05 02:15:00,2021-04-05 02:15:00,2021-04-05 02:15:00,2021-04-05 02:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
47,1104216252ALG,2021-04-05 03:15:00,2021-04-05 03:15:00,2021-04-05 03:15:00,2021-04-05 03:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
48,1004214201CMN,2021-04-05 04:15:00,2021-04-05 04:15:00,2021-04-05 04:15:00,2021-04-05 04:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
49,1104216252ALG,2021-04-05 05:15:00,2021-04-05 05:15:00,2021-04-05 05:15:00,2021-04-05 05:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
50,1004214201CMN,2021-04-05 06:15:00,2021-04-05 06:15:00,2021-04-05 06:15:00,2021-04-05 06:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
51,1104216252ALG,2021-04-05 07:15:00,2021-04-05 07:15:00,2021-04-05 07:15:00,2021-04-05 07:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
52,1004214201CMN,2021-04-05 08:15:00,2021-04-05 08:15:00,2021-04-05 08:15:00,2021-04-05 08:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
53,1104216252ALG,2021-04-05 09:15:00,2021-04-05 09:15:00,2021-04-05 09:15:00,2021-04-05 09:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
54,1004214201CMN,2021-04-05 10:15:00,2021-04-05 10:15:00,2021-04-05 10:15:00,2021-04-05 10:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
55,1104216252ALG,2021-04-05 11:15:00,2021-04-05 11:15:00,2021-04-05 11:15:00,2021-04-05 11:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
56,1004214201CMN,2021-04-05 12:15:00,2021-04-05 12:15:00,2021-04-05 12:15:00,2021-04-05 12:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
57,1104216252ALG,2021-04-05 13:15:00,2021-04-05 13:15:00,2021-04-05 13:15:00,2021-04-05 13:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
58,1004214201CMN,2021-04-05 14:15:00,2021-04-05 14:15:00,2021-04-05 14:15:00,2021-04-05 14:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
59,1104216252ALG,2021-04-05 15:15:00,2021-04-05 15:15:00,2021-04-05 15:15:00,2021-04-05 15:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
60,0604216216ALG,2021-04-05 16:15:00,,,,8:00 ,8:00 ,AT72,ATR6,OGX,OGX,0,0,0,0,66,66,0,0
61,0604216217OGX,2021-04-05 16:15:00,,,,15:50,15:50,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
62,0604216480OGX,2021-04-05 16:15:00,,,,10:30,10:30,AT72,ATR6,AZR,AZR,0,0,0,0,66,66,0,0
63,0604216481AZR,2021-04-05 16:15:00,,,,13:10,13:10,AT72,ATR6,OGX,OGX,0,0,0,0,66,66,0,0
64,1004214201CMN,2021-04-05 16:15:00,2021-04-05 16:15:00,2021-04-05 16:15:00,2021-04-05 16:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
65,0604216056ALG,,2021-04-05 17:15:00,,,9:30 ,9:40 ,B736,B736,GJL,GJL,16,16,0,0,86,86,0,0
66,0604216057GJL,,2021-04-05 17:15:00,,,11:20,11:30,B736,B736,ALG,ALG,16,16,0,0,86,86,0,0
67,0604216148CBH,,2021-04-05 17:15:00,,,12:00,12:10,B738,B738,TIN,TIN,16,16,0,0,132,132,0,0
68,0604216148ALG,,2021-04-05 17:15:00,,,9:30 ,9:40 ,B738,B738,CBH,CBH,16,16,0,0,132,132,0,0
69,0604216149TIN,,2021-04-05 17:15:00,,,14:10,14:20,B738,B738,ALG,ALG,16,16,0,0,132,132,0,0
70,1104216252ALG,2021-04-05 17:15:00,2021-04-05 17:15:00,2021-04-05 17:15:00,2021-04-05 17:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
71,0804216146ALG,2021-04-05 18:15:00,,,2021-04-05 18:15:00,9:05 ,9:05 ,B738,B736,TIN,TIN,16,16,0,0,132,86,0,0
72,0804216147TIN,2021-04-05 18:15:00,,,2021-04-05 18:15:00,12:30,12:30,B738,B736,ALG,ALG,16,16,0,0,132,86,0,0
73,1004214201CMN,2021-04-05 18:15:00,2021-04-05 18:15:00,2021-04-05 18:15:00,2021-04-05 18:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
74,1104216252ALG,2021-04-05 19:15:00,2021-04-05 19:15:00,2021-04-05 19:15:00,2021-04-05 19:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
75,1004214201CMN,2021-04-05 20:15:00,2021-04-05 20:15:00,2021-04-05 20:15:00,2021-04-05 20:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
76,1104216252ALG,2021-04-05 21:15:00,2021-04-05 21:15:00,2021-04-05 21:15:00,2021-04-05 21:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
77,1004214201CMN,2021-04-05 22:15:00,2021-04-05 22:15:00,2021-04-05 22:15:00,2021-04-05 22:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
78,1104216252ALG,2021-04-05 23:15:00,2021-04-05 23:15:00,2021-04-05 23:15:00,2021-04-05 23:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
79,1004214201CMN,2021-04-06 00:15:00,2021-04-06 00:15:00,2021-04-06 00:15:00,2021-04-06 00:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
80,1104216252ALG,2021-04-06 01:15:00,2021-04-06 01:15:00,2021-04-06 01:15:00,2021-04-06 01:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
81,1004214201CMN,2021-04-06 02:15:00,2021-04-06 02:15:00,2021-04-06 02:15:00,2021-04-06 02:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
82,1104216252ALG,2021-04-06 03:15:00,2021-04-06 03:15:00,2021-04-06 03:15:00,2021-04-06 03:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
83,1004214201CMN,2021-04-06 04:15:00,2021-04-06 04:15:00,2021-04-06 04:15:00,2021-04-06 04:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
84,1104216252ALG,2021-04-06 05:15:00,2021-04-06 05:15:00,2021-04-06 05:15:00,2021-04-06 05:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
85,1004214201CMN,2021-04-06 06:15:00,2021-04-06 06:15:00,2021-04-06 06:15:00,2021-04-06 06:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
86,1104216252ALG,2021-04-06 07:15:00,2021-04-06 07:15:00,2021-04-06 07:15:00,2021-04-06 07:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
87,1004214201CMN,2021-04-06 08:15:00,2021-04-06 08:15:00,2021-04-06 08:15:00,2021-04-06 08:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
88,1104216252ALG,2021-04-06 09:15:00,2021-04-06 09:15:00,2021-04-06 09:15:00,2021-04-06 09:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
89,0704211224ALG,2021-04-06 10:15:00,2021-04-06 10:15:00,,2021-04-06 10:15:00,8:20 ,12:00,L382,B737,LYS,LYS,0,0,0,16,0,96,0,0
90,0704211225LYS,2021-04-06 10:15:00,2021-04-06 10:15:00,,2021-04-06 10:15:00,12:00,14:45,L382,B737,ALG,ALG,0,0,0,16,0,96,0,0
91,1004214201CMN,2021-04-06 10:15:00,2021-04-06 10:15:00,2021-04-06 10:15:00,2021-04-06 10:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
92,0804216040ALG,2021-04-06 11:15:00,,,2021-04-06 11:15:00,9:45 ,9:45 ,B736,B738,BSK,BSK,16,16,0,0,86,132,0,0
93,0804216041BSK,2021-04-06 11:15:00,,,2021-04-06 11:15:00,11:35,11:35,B736,B738,ALG,ALG,16,16,0,0,86,132,0,0
94,1104216252ALG,2021-04-06 11:15:00,2021-04-06 11:15:00,2021-04-06 11:15:00,2021-04-06 11:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
95,1004214201CMN,2021-04-06 12:15:00,2021-04-06 12:15:00,2021-04-06 12:15:00,2021-04-06 12:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
96,0604216476ALG,2021-04-06 13:15:00,,,,12:20,12:20,AT72,ATR6,EBH,EBH,0,0,0,0,66,66,0,0
97,0604216477EBH,2021-04-06 13:15:00,,,,14:20,14:20,AT72,ATR6,ALG,ALG,0,0,0,0,66,66,0,0
98,1104216252ALG,2021-04-06 13:15:00,2021-04-06 13:15:00,2021-04-06 13:15:00,2021-04-06 13:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
99,0604216026ALG,2021-04-06 14:15:00,,,2021-04-06 14:15:00,18:15,18:15,B738,B736,CZL,CZL,16,16,0,0,132,86,0,0
100,0604216184ALG,2021-04-06 14:15:00,,,2021-04-06 14:15:00,13:45,13:45,B736,B738,ORN,ORN,16,16,0,0,86,132,0,0
101,0604216185ORN,2021-04-06 14:15:00,,,2021-04-06 14:15:00,16:00,16:00,B736,B738,ALG,ALG,16,16,0,0,86,132,0,0
102,0704216027CZL,2021-04-06 14:15:00,,,2021-04-06 14:15:00,7:20 ,7:20 ,B738,B736,ALG,ALG,16,16,0,0,132,86,0,0
103,1004214201CMN,2021-04-06 14:15:00,2021-04-06 14:15:00,2021-04-06 14:15:00,2021-04-06 14:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
104,0604216184ALG,2021-04-06 15:15:00,,,2021-04-06 15:15:00,13:45,13:45,B738,B736,ORN,ORN,16,16,0,0,132,86,0,0
105,0604216185ORN,2021-04-06 15:15:00,,,2021-04-06 15:15:00,16:00,16:00,B738,B736,ALG,ALG,16,16,0,0,132,86,0,0
106,1104216252ALG,2021-04-06 15:15:00,2021-04-06 15:15:00,2021-04-06 15:15:00,2021-04-06 15:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
107,1004214201CMN,2021-04-06 16:15:00,2021-04-06 16:15:00,2021-04-06 16:15:00,2021-04-06 16:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
108,1104216252ALG,2021-04-06 17:15:00,2021-04-06 17:15:00,2021-04-06 17:15:00,2021-04-06 17:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
109,1004214201CMN,2021-04-06 18:15:00,2021-04-06 18:15:00,2021-04-06 18:15:00,2021-04-06 18:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
110,1304215606ALG,,2021-04-06 18:15:00,,,8:00 ,7:00 ,B736,B736,BKO,BKO,16,16,0,0,85,85,0,0
111,1304215607BKO,,2021-04-06 18:15:00,,,13:15,12:15,B736,B736,ALG,ALG,16,16,0,0,85,85,0,0
112,0904216318ALG,2021-04-06 19:15:00,2021-04-06 19:15:00,2021-04-06 19:15:00,2021-04-06 19:15:00,12:15,10:30,B736,AT72,ALG,ELG,16,0,0,0,85,66,0,0
113,1104216252ALG,2021-04-06 19:15:00,2021-04-06 19:15:00,2021-04-06 19:15:00,2021-04-06 19:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
114,1304215606ALG,2021-04-06 19:15:00,,,2021-04-06 19:15:00,7:00 ,7:00 ,B736,B738,BKO,BKO,16,16,0,0,85,132,0,0
115,1304215607BKO,2021-04-06 19:15:00,,,2021-04-06 19:15:00,12:15,12:15,B736,B738,ALG,ALG,16,16,0,0,85,132,0,0
116,0904216318ALG,2021-04-06 20:15:00,2021-04-06 20:15:00,2021-04-06 20:15:00,2021-04-06 20:15:00,12:15,10:30,B738,AT72,ALG,ELG,16,0,0,0,132,66,0,0
117,1004214201CMN,2021-04-06 20:15:00,2021-04-06 20:15:00,2021-04-06 20:15:00,2021-04-06 20:15:00,11:50,17:00,B736,B737,ELU,ALG,16,0,0,16,86,96,0,0
118,1104216252ALG,2021-04-06 21:15:00,2021-04-06 21:15:00,2021-04-06 21:15:00,2021-04-06 21:15:00,17:00,11:50,B737,B736,ALG,ELU,0,16,16,0,96,86,0,0
