ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,Aircraft_Type_x,Aircraft_Type_y,STD_UTC_x,STD_UTC_y,Arrival_Station_x,Arrival_Station_y,Aircraft_Configuration_x,Aircraft_Configuration_y
1,0104216027CZL,,02MAR2101MAR22,,,73H,73H,0725,0720,ALG,ALG,F16Y132             ,F16Y132             
2,0104216107ORN,,02MAR2101MAR22,,,73H,73H,0700,0645,ALG,ALG,F16Y132             ,F16Y132             
3,0203216201GHA,,02MAR2101MAR22,,,AT7,AT7,0715,0800,ALG,ALG,Y66                 ,Y66                 
4,0205216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1000,1000,TMX,TMX,F16Y132             ,F16Y85              
5,0205216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,ALG,ALG,F16Y132             ,F16Y85              
6,0303216027CZL,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,0720,0720,ALG,ALG,F16Y132             ,F16Y85              
7,0305216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
8,0305216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
9,0505216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
10,0505216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
11,1103216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1000,1000,CBH,CBH,Y66                 ,F16Y85              
12,1103216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1305,1230,ALG,ALG,Y66                 ,F16Y85              
13,1203216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1300,1300,ELU,ELU,Y66                 ,F16Y85              
14,1203216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1515,1500,ALG,ALG,Y66                 ,F16Y85              
15,1204216120ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1300,1300,TLM,TLM,F16Y132             ,F16Y85              
16,1204216121TLM,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
17,1303216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0900,0900,CBH,CBH,Y66                 ,F16Y85              
18,1303216133CBH,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1205,1130,ALG,ALG,Y66                 ,F16Y85              
19,1303216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,0935,0935,ELU,ELU,Y66                 ,F16Y85              
20,1303216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1150,1135,ALG,ALG,Y66                 ,F16Y85              
21,1303216292ALG,03MAR2102MAR22,,,,736,73H,0905,0905,DJG,DJG,F16Y86              ,F16Y86              
22,1303216292TMR,03MAR2102MAR22,,,,736,73H,1410,1410,ALG,ALG,F16Y86              ,F16Y86              
23,1303216292DJG,03MAR2102MAR22,,,,736,73H,1220,1220,TMR,TMR,F16Y86              ,F16Y86              
24,1403216252ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1150,1150,ELU,ELU,Y66                 ,F16Y85              
25,1403216253ELU,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,AT7,736,1405,1350,ALG,ALG,Y66                 ,F16Y85              
26,1404216156ALG,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1230,1230,TMX,TMX,F16Y132             ,F16Y85              
27,1404216157TMX,03MAR2102MAR22,,,03MAR2102MAR22,73H,736,1500,1500,ALG,ALG,F16Y132             ,F16Y85              
28,1604216038ALG,03MAR2102MAR22,,,03MAR2102MAR22,736,AT7,1340,1340,BLJ,BLJ,F16Y85              ,Y66                 
29,1604216039BLJ,03MAR2102MAR22,03MAR2102MAR22,,03MAR2102MAR22,736,AT7,1530,1545,ALG,ALG,F16Y85              ,Y66                 
30,1803216132ALG,03MAR2102MAR22,,,03MAR2102MAR22,AT7,736,1000,1000,CBH,CBH,Y66                 ,F16Y85              
