AIR ALGERIE	Daily Flight Schedule Report (10/04/2021-17/04/2021)	10/04/2021	
           	 Times in UTC - All times based on MVT/ACARS/Manual entries	
DATE     	Route 	FLT        	TYPE	REG          	FC 	AC   	CHR   	DEP  	ARR  	STD   	STA   	ETD   	ETA   	TKof  	TDwn  	ST 	ATD   	ATA   	BLOCK    	FLThr    	C1   	DLY1   	Sub1	C2   	DLY2   	Sub2	C3   	DLY3   	Sub3	C4   	DLY4   	Sub4	C5   	DLY5   	Sub5	C6   	DLY6   	Sub6	C7   	DLY7   	Sub7	C8   	DLY8   	Sub8	C1A  	DLY1A  	Sub9	C2A  	DLY2A  	Sb10	Cargo    	Mail     	Payld    	Bags     	EXP PAX             	ACT PAX             	EXP       	PAX       	SEATS     	LF  	AC CONFIG           	Log_Page# 	Charterer Seats     	Code Share and Seats     	Dist     	DStand	AStand	Change                   	Init     	Uplf W   	Ramp     	Stdn     	Burn     	Uplf V   	USG/LTS  	Tank     	ZFW      	FPBurn   	SGrav    	Miles    	Rt base 	DGate 	AGate 	Orig.ARR 	D.Closed 	Crew                                        	
         	AC    	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	TTL       	TTL       	TTL       	%   	                    	          	F    C    Y  INF    	F    C    Y  INF         	         	      	      	reason                   	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	Station  	         	                                            	
 
10/04/21 	1508  	1508       	F   	7T-VJJ       	   	B738 	      	ALG  	CDG  	16:00 	18:30 	0:00  	0:00  	0:00  	0:00  	   	0:00  	0:00  	2:30     	2:10     	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	0        	0        	0        	0        	0|   0|   0|   0|   	0|   0|   0|   0|   	0         	0         	148       	0   	16    0  132    0   	          	0   0   0   0       	                         	1370     	      	      	                         	0        	0        	0        	0        	0        	0        	Lts      	0        	0        	0        	0.0      	0        	ALG     	      	      	         	0:00     	-BENBOUAZIZ LYES                (CP)31785   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-ABDELATIF MOHAMED ANIS         (FO)36829   	
10/04/21 	1508  	1509       	F   	7T-VJJ       	   	B738 	      	CDG  	ALG  	19:30 	21:55 	0:00  	0:00  	0:00  	0:00  	   	0:00  	0:00  	2:25     	2:05     	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	0        	0        	0        	0        	0|   0|   0|   0|   	0|   0|   0|   0|   	0         	0         	148       	0   	16    0  132    0   	          	0   0   0   0       	                         	1370     	      	      	                         	0        	0        	0        	0        	0        	0        	Lts      	0        	0        	0        	0.0      	0        	ALG     	      	      	         	0:00     	-BENBOUAZIZ LYES                (CP)31785   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-ABDELATIF MOHAMED ANIS         (FO)36829   	
10/04/21 	6346  	6346       	J   	7T-VJL       	   	B738 	      	CZL  	CBH  	10:55 	12:25 	0:00  	12:30 	10:57 	0:00  	   	10:54 	0:00  	1:36     	1:33     	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	99   	0:05   	    	     	       	    	0        	0        	0        	708      	0|   0|   0|   0|   	0|   1|  63|   4|   	0         	68        	148       	46  	16    0  132    0   	          	0   0   0   0       	                         	969      	      	      	                         	0        	0        	0        	0        	0        	0        	Lts      	0        	0        	0        	0.0      	0        	CZL     	      	      	         	0:00     	-BOUACHIBA  LAKHDAR             (CP)21861   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-BOUGANDOURA BRAHIM             (FO)36458   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-BOUBAZINE KARIMA               (CC)24175   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-BOULMERKA OUSSAMA              (FA)36077   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-BOUMERDAS CHOUAIB              (FA)37019   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-LEMAI MOHAMED NAZIM            (FA)34912   	
         	      	           	    	             	   	     	      	     	     	      	      	      	      	      	      	   	      	      	         	         	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	     	       	    	         	         	         	         	                    	                    	          	          	          	    	                    	          	                    	                         	         	      	      	                         	         	         	         	         	         	         	         	         	         	         	         	         	        	      	      	         	         	-ZEMOUCHI DALLEL                (FA)35234   	
