KEY_FLT,STATUS,OCCAS,ESCALE (IATA),DATE,ROUTE_AC,FLT,TYPE,REG,FC,AC,CHR,DEP,ARR,STD,STA,ETD,ETA,TKof,TDwn,ST,ATD,ATA,BLOCK,FLThr,C1,DLY1,Sub1,C2,DLY2,Sub2,C3,DLY3,Sub3,C4,DLY4,Sub4,C5,DLY5,Sub5,C6,DLY6,Sub6,C7,DLY7,Sub7,C8,DLY8,Sub8,C1A,DLY1A,Sub9,C2A,DLY2A,Sb10,Cargo,Mail,Payld,Bags,EXP PAX F,EXP PAX C,EXP PAX Y,EXP PAX INF,ACT PAX F,ACT PAX C,ACT PAX Y,ACT PAX INF,EXP TTL,PAX TTL,SEATS TTL,LF %,AC CONFIG1,AC CONFIG2,AC CONFIG3,AC CONFIG4,Log_Page#,Character Seats F,Character Seats C,Character Seats Y,Character Seats INF,Code Share and Seats F,Code Share and Seats C,Code Share and Seats Y,Code Share and Seats INF,Dist,DStand,AStand,Change reason,Init,Uplf W,Ramp,Stdn,Burn,Uplf V,USG/LTS,Tank,ZFW,FPBurn,SGrav,Miles,Rt base,DGate,AGate,Orig.ARR Station,D.Closed,ch_type_app,ch_std,ch_dest,ch_config,FI_FILE
0304211208ALG,/,/,"",03/04/21,1208,1208,F,7TVKT,  ,B737,  ,ALG,CDG,7:00 ,9:30 ,0:00 ,9:11 ,6:51 ,8:57 ,"",6:44 ,9:09 ,2:25 ,2:06 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,15532,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1370,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304211209CDG,/,/,"",03/04/21,1208,1209,F,7TVKT,  ,B737,  ,CDG,ALG,10:30,12:55,0:00 ,13:30,11:15,0:00 ,"",10:55,0:00 ,2:35 ,2:15 ,99,0:25 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,93,0:35 ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1370,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304211508ALG,/,/,"",03/04/21,1508,1508,F,7TVKT,  ,B737,  ,ALG,CDG,16:00,18:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,2:30 ,2:10 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1370,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304211509CDG,/,/,"",03/04/21,1508,1509,F,7TVKT,  ,B737,  ,CDG,ALG,19:30,21:55,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,2:25 ,2:05 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1370,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214200ALG,/,/,"",03/04/21,4200,4200,F,7TVKS,  ,B737,  ,ALG,CMN,14:00,16:00,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,2:00 ,1:40 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1052,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214201CMN,/,/,"",03/04/21,4200,4201,F,7TVKS,  ,B737,  ,CMN,ALG,17:00,18:45,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:45 ,1:25 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1052,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214700ALG,/,/,"",03/04/21,4700,4700,C,7TVJS,  ,B736,  ,ALG,OUD,9:00 ,10:15,0:00 ,10:15,9:10 ,10:06,"",9:00 ,10:11,1:11 ,0:56 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,296,0,   0,   0,   0,0,   0,  44,   0,0,44,102,43,16,0,86,0,"",0,0,0,0,"","","","",511,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214701OUD,/,/,"",03/04/21,4700,4701,P,7TVJS,  ,B736,  ,OUD,ALG,11:15,12:20,0:00 ,11:30,10:49,11:40,"",10:40,11:45,1:05 ,0:51 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,102,0,16,0,86,0,"",0,0,0,0,"","","","",511,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214702ALG,/,/,"",03/04/21,4702,4702,F,7TVKS,  ,B737,  ,ALG,CMN,8:00 ,10:00,0:00 ,9:20 ,7:50 ,9:37 ,"",7:45 ,9:45 ,2:00 ,1:47 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1052,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304214703CMN,/,/,"",03/04/21,4702,4703,F,7TVKS,  ,B737,  ,CMN,ALG,11:00,12:45,0:00 ,12:15,10:40,12:10,"",10:30,12:15,1:45 ,1:30 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,15706,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,112,0,0,16,96,0,"",0,0,0,0,"","","","",1052,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216006ALG,/,/,"",03/04/21,6006,6006,J,7TVKH,  ,B738,  ,ALG,AAE,18:30,19:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:00 ,0:40 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",410,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216007AAE,/,/,"",03/04/21,6006,6007,J,7TVKI,  ,B738,  ,AAE,ALG,7:15 ,8:15 ,0:00 ,0:00 ,7:10 ,8:00 ,"",7:00 ,8:05 ,1:05 ,0:50 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,812,0,   0,   0,   0,0,  11, 119,   4,0,134,148,91,16,0,132,0,"",0,0,0,0,"","","","",410,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216026ALG,/,/,"",03/04/21,6026,6026,J,7TVJP,  ,B738,  ,ALG,CZL,18:40,19:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,0:50 ,0:30 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",308,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
