KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0103216006ALG,,01MAR2128FEB22,3, ,AH,6006,01,01,J,01MAR21,31MAY21,1,2, , ,5, ,7,ALG,1800,1800,+,0100,AAE,1900,1900,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216007AAE,CANCELED,01MAR2128FEB22,3, ,AH,6007,01,01,J,01MAR21,13MAR21,1,2,3, ,5,6,7,AAE,0715,0715,+,0100,ALG,0815,0815,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216026ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6026,01,01,J,01MAR21,31MAY21,1,2,3,4,5, ,7,ALG,1815,1815,+,0100,CZL,1905,1905,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,17FEB2116FEB22,,
0103216027CZL,MODIFIED,01MAR2128FEB22,3, ,AH,6027,01,01,J,01MAR21,11MAR21,1,2,3,4, ,6,7,CZL,0720,0720,+,0100,ALG,0810,0810,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,17FEB2116FEB22,,
0103216032ALG,,01MAR2128FEB22,3, ,AH,6032,01,01,J,01MAR21,31MAY21,1, , , ,5, , ,ALG,0830,0830,+,0100,TEE,0945,0945,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216033TEE,,01MAR2128FEB22,3, ,AH,6033,01,01,J,01MAR21,31MAY21,1, , , ,5, , ,TEE,1035,1035,+,0100,ALG,1210,1210,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216040ALG,MODIFIED,01MAR2128FEB22,3, ,AH,6040,01,01,J,01MAR21,08MAR21,1, , , , , , ,ALG,1130,1130,+,0100,BSK,1230,1230,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216041BSK,MODIFIED,01MAR2128FEB22,3, ,AH,6041,01,01,J,01MAR21,08MAR21,1, , , , , , ,BSK,1320,1320,+,0100,ALG,1420,1420,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,15FEB2114FEB22,,
0103216058ALG,,01MAR2128FEB22,3, ,AH,6058,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,0945,0945,+,0100,GJL,1035,1035,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216059GJL,,01MAR2128FEB22,3, ,AH,6059,01,01,J,01MAR21,31MAY21,1, , , , , , ,GJL,1135,1135,+,0100,ALG,1225,1225,+,0100,736,       ,F16Y85              ,2021-03-01,2021-03-01,,,,1.0,,,,
